Timestamp,  Mathematics teachers in this school attend training workshops regularly.  ,  The training has helped teachers improve how they teach mathematics.  ,  The training programs cover the current curriculum and exams.  ,  Teachers share what they learn from training with others,  The school administration supports teachers to attend training programs,NAME  OF THE SCHOOL,SUB-COUNTY,COUNTY,Score
7/9/2025 13:14:37,Agree,Agree,Strongly agree,Agree,Agree,Kaudha mixed sec school ,Gem wagai ,Siaya ,
7/9/2025 13:14:54,Strongly agree,Strongly Agree,,Strongly agree,Agree,KAUDHA MIXED SECONDARY SCHOOL ,GEM-WAGAI,SIAYA,
7/10/2025 11:05:25,Agree,Agree,Agree,Agree,Agree,ST. PETER'S BUDOKOMI,BUSIA,BUSIA,
7/10/2025 15:06:53,Agree,Neutral,Neutral,Agree,Agree,Budokomi,MATAYOSI,Busia,
7/17/2025 14:45:55,Agree,Strongly Agree,Agree,Strongly agree,Agree,Malele mixed secondary school ,Gem wagai,Siaya,
7/17/2025 14:46:56,Strongly agree,Strongly Agree,Agree,Agree,Strongly agree,Malele mixed secondary ,Gem wagai,Siaya,
7/18/2025 14:38:07,Disagree,Disagree,Disagree,Strongly disagree,Agree,Malele mixed secondary school ,Gem Wagai,Siaya ,
7/18/2025 14:40:30,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Nyalunya,Gem wagai,Siaya,
7/18/2025 14:41:48,Strongly disagree,Strongly Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Nyalunya,Gem-Wagai,Siaya,
7/18/2025 14:43:09,Neutral,Agree,Strongly agree,Agree,Agree,Nyalunya,Gem-Wagai,Siaya,
7/18/2025 15:13:00,Disagree,Neutral,Neutral,Neutral,Neutral,MALELE MIXED SEC SCHOOL ,GEM WAGAI,SIAYA ,
7/18/2025 15:35:29,Agree,Strongly Disagree,Strongly agree,Strongly disagree,Strongly disagree,Nyalunya ,Gem-wagai,Siaya,
7/23/2025 15:44:40,Neutral,Agree,Neutral,Agree,Agree,LIONS MIXED HIGH SCHOOL ,Kisumu central ,Kisumu ,
7/23/2025 15:46:40,Disagree,Neutral,Strongly disagree,Disagree,Neutral,LIONS MIXED HIGH SCHOOL ,Kisumu central ,Kisumu ,
7/24/2025 8:11:30,Agree,Agree,Agree,Neutral,Agree,Magunga Secondary School,Nyakach,Kisumu,
7/24/2025 8:12:43,Strongly disagree,Agree,Agree,Agree,Agree,Magunga Secondary School,Nyakach,Kisumu,
7/24/2025 8:14:01,Agree,Neutral,Agree,Neutral,Agree,Magunga Secondary School,Nyakach,Kisumu,
7/27/2025 17:03:12,Neutral,Agree,Agree,Agree,Disagree,Nduru,Alego-Usonga,Siaya,
7/27/2025 17:05:21,Disagree,Disagree,Neutral,Agree,Strongly disagree,Nduru,Alego_Usonga,Siaya,
7/27/2025 17:16:13,Strongly disagree,Agree,Neutral,Neutral,Strongly disagree,Ojola,Wagai,Siaya,
7/27/2025 17:16:58,Disagree,Neutral,Neutral,Agree,Strongly disagree,Ojola,Wagai,Siaya,
