 I enjoy learning mathematics,   I feel confident when solving math problems ,  Mathematics is useful in real life  ,  I get anxious during mathematics lessons  ,  I believe I can perform well in mathematics  ,  There are enough mathematics textbooks for all students  ,"  The school provides mathematical instruments (rulers, compasses, sets)  ",  Teachers use relevant teaching aids like charts and models  ,  Students have access to practice tests and past papers for mathematics  ,  Learning materials are updated to reflect the current syllabus  ,NAME OF THE SCHOOL.,SUB-COUNTY,COUNTY,GENDER
Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Disagree,Neutral,Neutral,Agree,Strongly Disagree,Agree,Disagree,Agree,Neutral,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Male
Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Neutral,Agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly Disagree,Agree,Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Male
Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Budokomi_Mixed,BUSIA,Busia,Female
Agree,Strongly disagree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly disagree,Nyalunya_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Nyalunya_Mixed,Wagai,Siaya,Female
Disagree,Agree,Strongly agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly agree,Nyalunya_Mixed,Wagai,Siaya,Male
Strongly Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Strongly Disagree,Neutral,Nyalunya_Mixed,Wagai,Siaya,Female
Neutral,Neutral,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Nyalunya_Mixed,Wagai,Siaya,Male
Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly disagree,Nyalunya_Mixed,Wagai,Siaya,Female
Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Nyalunya_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly disagree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Neutral,Strongly agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Kaudha_Mixed,Wagai,Siaya,Female
Neutral,Neutral,Strongly agree,Strongly Disagree,Strongly agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Neutral,Neutral,Agree,Kaudha_Mixed,Wagai,Siaya,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,,Strongly agree,Kaudha_Mixed,Wagai,Siaya,Female
