SCHOOL,SUB-COUNTY,COUNTY,IN-SERVICE TRAINING
Kaudha_Mixed,Wagai,Siaya,4.2
Kaudha_Mixed,Wagai,Siaya,4.75
Budokomi_Mixed,Busia,Busia,4.0
Budokomi_Mixed,Busia,Busia,3.6
Malele_Mixed,Wagai,Siaya,4.4
Malele_Mixed,Wagai,Siaya,4.6
Malele_Mixed,Wagai,Siaya ,2.2
Nyalunya_Mixed,Wagai,Siaya,4.0
Nyalunya_Mixed,Wagai,Siaya,1.0
Nyalunya_Mixed,Wagai,Siaya,4.0
Malele_Mixed,Wagai,Siaya,2.8
Nyalunya_Mixed,Wagai,Siaya,2.4
Lions_Mixed,Kisumu central ,Kisumu ,3.6
Lions_Mixed,Kisumu central ,Kisumu ,2.2
Magunga_Mixed,Nyakach,Kisumu,3.8
Magunga_Mixed,Nyakach,Kisumu,3.4
Magunga_Mixed,Nyakach,Kisumu,3.6
Nduru_Mixed,Alego-Usonga,Siaya,3.4
Nduru_Mixed,Alego_Usonga,Siaya,2.4
Ojola_Mixed,Wagai,Siaya,2.4
Ojola_Mixed,Wagai,Siaya,2.6
